pmid,title,abstract,journal,year,search_query
41590124,Breast cancer survival by stage at diagnosis in countries in transition: A population-based study.,"This study explores variation in stage-specific survival in women diagnosed with breast cancer in transitioning countries. We obtained data of women diagnosed between 2008 and 2012 from 11 population-based cancer registries (PBCRs) in 10 countries, with follow-up until December 2014. Following stage data standardization and multiple imputation for missing data, we estimated age-standardized 1-, 3-, and 5-year net survival (ASNS) by stage and age group. Stage distribution varied significantly across jurisdictions. Puerto Rico had over 4 in 5 patients diagnosed with early stage (stage I/II), while India, Trivandrum, and Thailand, Khon Kaen had <3 in 5 diagnosed with early stage. Stage-specific ASNS was similar across early stages (stage I/II) but varied markedly for stage IV, where the highest 3-year ASNS (Puerto Rico: 43.2% 95% CI: 38.9%-47.6%) was 20 percentage points higher than the lowest 3-year ASNS (India, Trivandrum: 22.8% 95% CI: 10.2%-35.4%). ASNS for patients 60 years and older was generally lower than for patients younger than 60 years across all jurisdictions. Differences in ASNS were subtle in early stages but were especially pronounced for stage IV, where in Puerto Rico, 3-year ASNS for patients younger than 60 (49.0% 95% CI: 42.7%-55.2%) was over 13 percentage points higher than 3-year ASNS for patients 60 or older (35.4% 95% CI: 29.2%-41.7%). Disparities in breast cancer survival were partly explained by differences in early diagnosis and in care at late stages. Stage at diagnosis is an important indicator that should be collected by registries worldwide, particularly for late-stage disease and older patients.",International journal of cancer,2026,"(""breast cancer""[Title/Abstract]) AND (""multiple imputation""[Title/Abstract])"
41441997,Cost-effectiveness of contrast-enhanced mammography compared to conventional imaging in the work-up after screening (RACER trial).,"The randomised controlled clinical RACER trial studied the diagnostic work-up with contrast-enhanced mammography (CEM) compared to conventional imaging as the primary tool in women recalled from breast cancer screening. This current trial-based economic evaluation was performed from a hospital perspective. Cost prices were retrieved from the financial departments of the Maastricht University Medical Centre. Health-related quality of life was measured five times over 18 months using the EQ-5D-5L questionnaire. Cost-utility analysis outcome was expressed as costs per quality-adjusted life year (QALY). Multiple imputation was used for missing data, and non-parametric bootstrap analysis was performed to examine uncertainty in the difference in costs and incremental costs per QALY. Post hoc subgroup analysis was performed per BI-RADS recall score. Work-up with CEM showed lower total costs of €-117 (95% CI €-254; €+22) compared to conventional imaging. Average imaging costs were significantly lower with CEM (mean difference €-130; 95% CI €-153; €-105). Mean QALY for the CEM group was 1.2034 versus 1.2137 for the control group. Bootstrap analysis showed that 95% of all simulated ICERs were in the quadrants that indicate cost-savings, although 25% of the ICERs showed a small gain in QALY and 70% a small QALY loss. The probability of CEM being cost-effective is 53% at a threshold of €10,000 to accept a QALY loss. In the subgroup of BI-RADS 0 recalls, specifically, this probability is 85%. CEM as a primary tool in the diagnostic work-up is a cost-effective diagnostic strategy, especially in BI-RADS 0 recalls. Question Diagnostic accuracy is similar with contrast-enhanced mammography (CEM) compared to conventional as primary imaging. However, while the work-up is more efficient, is it also a cost-effective strategy? Findings Using CEM as primary imaging tool in the diagnostic work-up of recalls from screening results in lower costs with similar QALY compared to conventional imaging. Clinical relevance In BI-RADS- 0 (low suspicion) recalls, CEM should be used as primary imaging modality instead of conventional imaging. CEM compared to conventional imaging in the work-up of recalled women is cost-effective. In other recalls, CEM should be strongly considered.",European radiology,2025,"(""breast cancer""[Title/Abstract]) AND (""multiple imputation""[Title/Abstract])"
41284233,"Clinical Characteristics and Prognosis of Breast Signet Ring Cell Carcinoma: A Propensity Score-Matched, Population-Based Study.","<b>Aims/Background</b> Breast signet ring cell carcinoma (SRCC) represents an uncommon tumour that has not been extensively studied. This investigation sought to assess the clinical characteristics and prognosis of breast SRCC and compare them with those of invasive ductal carcinoma (IDC). <b>Methods</b> We obtained clinicopathological data from the Surveillance, Epidemiology, and End Results (SEER) database, including 222 patients with breast SRCC and 492,559 patients with IDC. Clinical features, treatments, and survival outcomes were compared between the two groups. Propensity score matching (PSM) methodology was used to balance baseline characteristics when evaluating overall survival (OS) and cancer-specific survival (CSS). Sensitivity analyses employing E-values quantified the potential impact of unmeasured confounding, and multiple imputation by chained equations (MICE) was used to address missing data for molecular subtype and histological grade. Additionally, predictive models in the form of nomograms were developed to estimate OS and CSS for patients with breast SRCC. <b>Results</b> Compared with IDC, breast SRCC was significantly associated with older age and more advanced tumour, node, metastasis (TNM) stage (<i>p</i> < 0.05 for all). Kaplan-Meier analyses revealed that breast SRCC patients exhibited markedly poorer survival outcomes (OS and CSS, <i>p</i> < 0.05) compared to IDC patients before PSM. For breast SRCC, the median OS was 67.0 months and the median CSS was 90.0 months. The OS rates at 3, 5, and 8 years stood at 60.9%, 51.5%, and 39.6%, respectively, while the corresponding CSS rates were 67.7%, 59.7%, and 48.6%. Following PSM analysis, survival outcomes between breast SRCC and IDC patients became comparable (<i>p</i> > 0.05). Multivariable assessment identified age, histological grade, T stage, and surgical intervention as independent OS predictors (<i>p</i> < 0.05 for all) in breast SRCC, while histological grade, T stage, and surgical approach were independent CSS factors (<i>p</i> < 0.05 for all). The nomograms were subsequently validated using the concordance index (C-index), receiver operating characteristic (ROC), calibration curves, and decision curve analysis (DCA), demonstrating robust prognostic capability. Sensitivity analysis revealed E-values of 1.35 (OS) and 1.49 (CSS), which exceeded typical confounder effects. Multiple imputation demonstrated consistent results (OS: hazard ratio [HR] = 1.20, 95% confidence interval [CI] 0.94-1.54; CSS: HR = 1.30, 95% CI 0.86-1.97), supporting the robustness of the findings. <b>Conclusion</b> Breast SRCC is associated with poorer outcomes primarily due to more advanced stage at presentation rather than histological type alone. Nomograms were developed to estimate OS and CSS for patients with breast SRCC.","British journal of hospital medicine (London, England : 2005)",2025,"(""breast cancer""[Title/Abstract]) AND (""multiple imputation""[Title/Abstract])"
41194812,Prognostic Impact of De-escalation Therapy in Older Adults With Breast Cancer: A Retrospective Cohort Study.,"Background With global population aging, breast cancer is increasingly diagnosed in older adults, and individuals aged 70 years and above now account for over 30% of new cases. Standard treatments, including surgery, radiation, endocrine therapy, and chemotherapy, are effective in reducing recurrence and improving survival. However, older patients remain underrepresented in clinical trials, resulting in limited evidence specific to this population. In clinical practice, de-escalated adjuvant therapies are often employed in older patients, but their prognostic impact remains uncertain. This study aimed to evaluate recurrence outcomes according to treatment intensity in elderly breast cancer patients. Methods We conducted a retrospective cohort study of 399 breast cancer patients aged ≥70 years who underwent surgery at Kobe City Medical Center General Hospital between July 2011 and March 2023. Patients were classified as receiving either standard or de-escalated adjuvant therapy, with standard therapy defined according to the 2022 Japanese Breast Cancer Clinical Practice Guidelines. Clinical data, including comorbidities, stage, and tumor subtype, were collected. Recurrence-free survival (RFS) was assessed using Cox proportional hazards models, adjusting for clinical covariates. Multiple imputation was performed to address missing data. Subgroup analyses were conducted by age, stage, estrogen receptor (ER) status, and human epidermal growth factor receptor 2 (HER2) status. Results The cohort included 399 patients (median age: 75 years) with a median follow-up of 56 months (interquartile range: 27-89). Only five recurrences (1.3%) were observed. In the unadjusted analysis, the median RFS was 46 months in the standard treatment group and 62 months in the de-escalation group. After adjustment with multiple imputation, the median RFS was not reached in either group. The hazard ratio for recurrence in the standard versus de-escalation group was 0.094 in the unadjusted analysis and 1.51 after adjustment. Notable differences were observed between groups with respect to comorbidities, disease stage, and tumor subtype. Conclusions De-escalated adjuvant therapy may be an appropriate option for selected elderly breast cancer patients, particularly those with favorable disease profiles. The very low recurrence rate observed in this cohort supports individualized treatment strategies that balance efficacy with tolerability. Prospective studies are warranted to confirm these findings and to inform evidence-based decision-making in geriatric oncology.",Cureus,2025,"(""breast cancer""[Title/Abstract]) AND (""multiple imputation""[Title/Abstract])"
41102597,Factors Associated With Fear of Cancer Recurrence in a Multiethnic Cohort of Patients With Breast Cancer.,"Fear of cancer recurrence (FCR) is prevalent among patients with breast cancer, yet those at high risk are not well characterized. This study aimed to identify the patient characteristics associated with FCR after diagnosis. Between July and September 2023, participants in the Chicago Multiethnic Epidemiologic Breast Cancer Cohort completed the 9-item FCR-Short Form Inventory. A score of 22 or higher indicated clinically significant FCR (csFCR). Logistic and linear regression estimated associations between different risk factors and csFCR and FCR scores, respectively. Missing data were addressed using multiple imputation. Among 1390 stage I-III patients (mean age 63.1 years and 9.1 [mean] years since diagnosis), 262 (18.8%) reported csFCR. In adjusted models, csFCR was associated with having another cancer excluding non-melanoma skin (adjusted odds ratio [aOR], 2.64; 95% CI, 1.66-4.21), greater levels of stress (aOR, 2.40 per 1-SD increment; 95% CI, 1.98-2.91), having a prior recurrence (aOR, 2.26; 95% CI, 1.14-4.47), and having estrogen receptor-positive tumors (aOR, 1.60; 95% CI, 1.06-2.40). Older age at diagnosis (aOR, 0.64 per 10-year increment; 95% CI, 0.56-0.73) was associated with lower odds of csFCR. Similar associations were observed with continuous FCR scores, along with advanced stage at diagnosis associated with higher FCR scores (p-trend = 0.001). Nearly 1 in 5 breast cancer patients reported csFCR. Key risk factors included younger age at diagnosis, history of recurrence or other malignancies, greater levels of stress, and estrogen receptor-positive breast cancer, which can inform targeted interventions to support survivorship.",Psycho-oncology,2025,"(""breast cancer""[Title/Abstract]) AND (""multiple imputation""[Title/Abstract])"
41101016,Approaches to handle missing follow-up time: A comparative analysis of contralateral breast cancer incidence.,"We aimed to compare various common approaches for handling missing vital status or follow-up time. As a case study for application of these methods, we estimated incidence of metachronous contralateral breast cancer (CBC). For 1980-2016, incidence of metachronous CBC with follow-up through 2024 was estimated using Poisson regression with overdispersion, by age at incidence, year of incidence, histology and follow-up period. Missing follow-up time was ignored in the naive approach, simulated once using the average hazard derived from published Swiss cancer registry data, or multiply imputed using 3 different imputation models. 24,612 women aged 20-84 had unilateral breast cancer between 1980 and 2016 in the Swiss cantons of Zurich and Zug. Of those, 5 % (n = 1264) were lost to follow-up. Over 291,463 person-years, 1145 contralateral breast malignancies were diagnosed, corresponding to 393 per 100,000 person-years (95 % CI 353-438). Incidence rates have been decreasing over time to 238 (171-333) for the incidence period 2010-2016. The same overall pattern was observed regardless of how we handled missing follow-up times. However, using a single imputation generally produced lower incidence rates compared to the naive approach, with multiple imputation giving higher estimates. The most complex multiple imputation model gave incidence estimates that were very similar to those from the naive approach. Different methods to handle missing follow-up times yielded similar results: that CBC incidence has declined in recent decades. Multiple imputation is likely an appropriate method to handle missing follow-up data, enabling researchers to include all eligible individuals in the analysis.",Cancer epidemiology,2025,"(""breast cancer""[Title/Abstract]) AND (""multiple imputation""[Title/Abstract])"
40853656,Resignation in Working Women With Breast and Gynecologic Cancers.,"Diagnosis of breast and gynecologic cancers may hamper employment; little is known about who is at greater risk of resignation. To examine whether a breast or gynecologic cancer diagnosis is associated with resignation in working women and to identify high-risk subpopulations. This matched cohort study included women aged 15 to 58 years insured by the Japan Health Insurance Association. From April 2017 to March 2023, women newly diagnosed with breast, cervical, uterine, or ovarian cancer were identified and matched in a 1:10 ratio to working women without these cancers. Cancer diagnosis was based on International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10). The primary outcome was all-cause resignation, and the secondary outcome was a composite of resignation and death, both assessed during a 2-year follow-up. Stratified Cox proportional-hazards models were applied, with multiple imputation and covariate adjustments. Subgroup analyses by prespecified covariates assessed effect size moderation and interactions between exposure and these covariates. The study included 99 964 women with cancer, including 59 452 women with breast cancer (median [IQR] age, 48 [44-53] years), 14 713 women with cervical cancer (median [IQR] age, 46 [39-51] years), 16 933 women with uterine cancer (median [IQR] age, 49 [44-53 years]), and 8866 women with ovarian cancer (median age [IQR] age, 47 [40-52] years), as well as 999 640 matched controls (594 520 for the breast cancer cohort, 147 130 for the cervical cancer cohort, 169 330 for the uterine cancer cohort, and 88 660 for the ovarian cancer cohort). Most women with cancer were working in the medical, health care, or welfare sector (32 123 women [32.1%]). During follow-up, resignation rates were significantly higher for women with cancer vs controls (breast cancer: 10 820 women [18.2%] vs 97 892 women [16.5%]; hazard ratio [HR], 1.18; 95% CI, 1.16-1.20; cervical cancer: 3296 women [22.4%] vs 27 476 women [18.7%]; HR, 1.31; 95% CI, 1.26-1.36; uterine cancer: 3161 women [18.7%] vs 27 786 women [16.4%]; HR, 1.24; 95% CI, 1.19-1.29; ovarian cancer: 2004 women [22.6%] vs 15 847 women [17.9%]; HR, 1.44; 95% CI, 1.37-1.51). Regarding the composite outcome of resignation and death, there was an increased risk for all cohorts, ranging from an HR of 1.25 (95% CI, 1.22-1.27) for breast cancer to 1.81 (95% CI, 1.73-1.89) for ovarian cancer. Among all 4 cancer cohorts, resignation risk was higher among women with older age, lower income, and a history of depression. In this cohort study using a nationwide health claims database in Japan, breast and gynecologic cancers were associated with a higher resignation risk, especially among those with older age, lower income, and depression history. These findings suggest that developing targeted support interventions may benefit women at high resignation risk after a cancer diagnosis.",JAMA network open,2025,"(""breast cancer""[Title/Abstract]) AND (""multiple imputation""[Title/Abstract])"
40681529,Breast cancer survival and mortality among women with type 2 diabetes: a retrospective cohort study.,"Type 2 diabetes (T2DM) is estimated to affect over 200 million women globally and over 2 million women are estimated to be diagnosed with breast cancer each year. This study aimed to determine the association between breast cancer molecular subtypes and survival in a cohort of women with T2DM. A retrospective cohort study was conducted using linked Scottish population-based data for 3,042 women diagnosed with T2DM prior to their diagnosis of invasive breast cancer between 2010 and 2019 that had complete data available. The women in the cohort were aged 50 to 84 years at the time of breast cancer diagnosis. Univariate analyses were performed using non-parametric ten-year Kaplan Meier (KM) estimates for breast cancer survival by molecular subtype. Hazard ratios (HR) for breast cancer mortality within three years were estimated using Cox proportional hazard models, adjusting for age at breast cancer diagnosis, year of diagnosis, Scottish region, mode of detection, treatment, area-based socioeconomic status, and T2DM duration were conducted. Multiple imputation was performed as a sensitivity analysis. The distribution of molecular subtype based on St Gallen's criteria was luminal A (58%), luminal B (HER2-) (19.2%), triple negative (9.9%), luminal B (HER2 +) (8.5%), and HER2-enriched (4.4%). There were 286 breast cancer deaths in total within three years. KM estimates showed women with HER2-enriched tumours had the worst survival at ages 50 to 69, while those with triple-negative tumours had the worst survival at ages 70 to 84. Adjusted HRs (95% confidence intervals) for mortality over 3 years compared to luminal A were 2.04 (1.43, 2.90) for luminal B (HER2-), 5.68 (3.40, 9.50) for triple negative, 2.22 (1.46, 3.38) for luminal B (HER2 +), and 2.93 (1.63, 5.27) for HER2-enriched. The imputed cohort adjusted HRs were attenuated, particularly for HER2-enriched (HR = 1.71 (1.01, 2.89)) and triple negative (HR = 2.74 (1.72, 4.37)). Like the general population, triple negative and HER2-enriched tumors had worse prognosis compared to luminal A tumors and their association with breast cancer mortality are similar in women with type 2 diabetes and the general population. However, our findings revealed differences in the survival ranking of HER2-enriched and triple-negative subtypes for breast cancer diagnosed in the 50-69 age group between women with type 2 diabetes and the general population, warranting further exploration.",Scientific reports,2025,"(""breast cancer""[Title/Abstract]) AND (""multiple imputation""[Title/Abstract])"
40541467,"Disparities in Access to Multigene Testing in Early-Stage, HR-positive, HER2-negative, Lymph Node-negative Breast Cancer.","Multigene testing (MGT) has refined breast cancer treatment. We examined real-world access to MGT for early-stage (I-II), HR-positive, HER2-negative, node-negative breast cancer and identified factors related to disparities. This retrospective analysis used the National Cancer Database (2007-2017). Socio-demographic and clinical-pathologic factors of interest were included in a multivariable logistic regression to examine associations with MGT use. Multiple imputation was used to find missing data. A total of N = 107,642 patients were eligible, of which 65,066 (60%) underwent MGT. The odds of undergoing MGT were lower among Black patients compared to White (OR 0.83, 95% CI, 0.79-0.87, P < .001), Hispanic compared to non-Hispanic (OR 0.91, 95% CI, 0.86-0.97, P = .004), uninsured compared to privately insured (OR 0.73,95% CI, 0.64-0.83, P < .001), and those in the West South-Central compared to New England region (OR 0.76, 95% CI, 0.70-0.82, P < .001). Increased odds were observed among those treated at an Integrated Network Cancer Program (OR 1.12, 95% CI, 1.05-1.19, P < .001), higher education level (OR 1.12, 95% CI, 1.06-1.18, P < .001), and a household income between $50,354 to $63,332 (OR 1.08, 95% CI, 1.02-1.14, P = .006). Those with access to MGT had higher odds of receiving adjuvant chemotherapy (OR 1.89,95% CI, 1.80-1.99, P < .001) and hormonal therapy (OR 3.17, 95% CI, 3.02-3.32, P < .001) compared to those without access to MGT after adjusting for other factors of interest. This study highlights gaps in access to MGT in breast cancer. Ensuring equitable access to diagnostic and prognostic precision tools could positively impact the odds of receiving appropriate adjuvant therapy and improve patient outcomes.",Clinical breast cancer,2025,"(""breast cancer""[Title/Abstract]) AND (""multiple imputation""[Title/Abstract])"
40159245,Correlation analysis of invasive disease-free survival and overall survival in a real-world population of patients with HR+/HER2- early breast cancer.,"Overall survival (OS) is the gold standard for assessing clinical benefit in oncology but requires extended follow-up to detect sufficient events. Invasive disease-free survival (iDFS) requires shorter follow-up times and is considered an objective and clinically meaningful end point in early breast cancer (EBC) trials. The authors assessed iDFS as a surrogate end point for OS in adjuvant HR+/HER2- EBC using real-world patient-level data. A retrospective analysis was conducted on patient data from the ConcertAI Patient360 database (January 1995-April 2021). Key inclusion criteria: age ≥18 years, stage II or III (AJCC 8th Edition) HR+/HER2- EBC, prior surgery, adjuvant endocrine therapy (ET). Spearman ρ, iterative multiple imputation ρ (IMI; 0.8-1 considered ""very strong""), and R<sup>2</sup> (clinical relevance R<sup>2</sup> ≥ 0.70) were used to assess iDFS-OS relationship. Subgroup analyses included ET (nonsteroidal aromatase inhibitor or tamoxifen), stage, menopausal status, nodal status, prior (neo)adjuvant chemotherapy, and prior radiotherapy. A total of 3133 patients were included (1103 [35.2%] iDFS events; 554 [17.7%] OS events); mean age was 58.4 years, 98.8% were female, 29.9% were premenopausal, and 80.9% had stage II disease. Median follow-up time was 55.1 months. iDFS and OS exhibited a positive, very strong, clinically relevant correlation (Spearman ρ: 0.88 [0.87-0.89]; IMI ρ: 0.83 [0.79-0.86]; both p < .0001). iDFS accounted for 82% of variation in OS (R<sup>2</sup> = 0.82). Results of all subgroup analyses were consistent with overall population. This patient-level real-world analysis demonstrated very strong, positive correlations between iDFS and OS, supporting the use of iDFS as a reliable primary end point in adjuvant HR+/HER2- EBC.",Cancer,2025,"(""breast cancer""[Title/Abstract]) AND (""multiple imputation""[Title/Abstract])"
